Episode 1	Average Score: 0.00
Episode 2	Average Score: 0.50
Episode 3	Average Score: 0.67
Episode 4	Average Score: 1.00
Episode 5	Average Score: 0.80
Episode 6	Average Score: 0.83
Episode 7	Average Score: 1.00
Episode 8	Average Score: 0.75
Episode 9	Average Score: 0.56
Episode 10	Average Score: 0.70
Episode 11	Average Score: 0.64
Episode 12	Average Score: 0.58
Episode 13	Average Score: 0.46
Episode 14	Average Score: 0.43
Episode 15	Average Score: 0.53
Episode 16	Average Score: 0.38
Episode 17	Average Score: 0.41
Episode 18	Average Score: 0.33
Episode 19	Average Score: 0.26
Episode 20	Average Score: 0.35
Episode 21	Average Score: 0.33
Episode 22	Average Score: 0.36
Episode 23	Average Score: 0.35
Episode 24	Average Score: 0.33
Episode 25	Average Score: 0.32
Episode 26	Average Score: 0.31
Episode 27	Average Score: 0.30
Episode 28	Average Score: 0.29
Episode 29	Average Score: 0.24
Episode 30	Average Score: 0.27
Episode 31	Average Score: 0.23
Episode 32	Average Score: 0.19
Episode 33	Average Score: 0.24
Episode 34	Average Score: 0.26
Episode 35	Average Score: 0.20
Episode 36	Average Score: 0.19
Episode 37	Average Score: 0.19
Episode 38	Average Score: 0.18
Episode 39	Average Score: 0.18
Episode 40	Average Score: 0.17
Episode 41	Average Score: 0.20
Episode 42	Average Score: 0.21
Episode 43	Average Score: 0.21
Episode 44	Average Score: 0.20
Episode 45	Average Score: 0.24
Episode 46	Average Score: 0.28
Episode 47	Average Score: 0.28
Episode 48	Average Score: 0.27
Episode 49	Average Score: 0.29
Episode 50	Average Score: 0.28
Episode 51	Average Score: 0.31
Episode 52	Average Score: 0.31
Episode 53	Average Score: 0.32
Episode 54	Average Score: 0.33
Episode 55	Average Score: 0.36
Episode 56	Average Score: 0.34
Episode 57	Average Score: 0.37
Episode 58	Average Score: 0.41
Episode 59	Average Score: 0.44
Episode 60	Average Score: 0.37
Episode 61	Average Score: 0.39
Episode 62	Average Score: 0.40
Episode 63	Average Score: 0.40
Episode 64	Average Score: 0.42
Episode 65	Average Score: 0.46
Episode 66	Average Score: 0.45
Episode 67	Average Score: 0.46
Episode 68	Average Score: 0.46
Episode 69	Average Score: 0.48
Episode 70	Average Score: 0.47
Episode 71	Average Score: 0.48
Episode 72	Average Score: 0.47
Episode 73	Average Score: 0.49
Episode 74	Average Score: 0.49
Episode 75	Average Score: 0.48
Episode 76	Average Score: 0.46
Episode 77	Average Score: 0.45
Episode 78	Average Score: 0.49
Episode 79	Average Score: 0.47
Episode 80	Average Score: 0.46
Episode 81	Average Score: 0.44
Episode 82	Average Score: 0.49
Episode 83	Average Score: 0.47
Episode 84	Average Score: 0.49
Episode 85	Average Score: 0.49
Episode 86	Average Score: 0.49
Episode 87	Average Score: 0.53
Episode 88	Average Score: 0.52
Episode 89	Average Score: 0.54
Episode 90	Average Score: 0.53
Episode 91	Average Score: 0.53
Episode 92	Average Score: 0.55
Episode 93	Average Score: 0.56
Episode 94	Average Score: 0.57
Episode 95	Average Score: 0.57
Episode 96	Average Score: 0.58
Episode 97	Average Score: 0.60
Episode 98	Average Score: 0.62
Episode 99	Average Score: 0.66
Episode 100	Average Score: 0.69
Episode 100	Average Score: 0.69
Episode 101	Average Score: 0.69
Episode 102	Average Score: 0.71
Episode 103	Average Score: 0.72
Episode 104	Average Score: 0.74
Episode 105	Average Score: 0.74
Episode 106	Average Score: 0.73
Episode 107	Average Score: 0.76
Episode 108	Average Score: 0.80
Episode 109	Average Score: 0.84
Episode 110	Average Score: 0.84
Episode 111	Average Score: 0.86
Episode 112	Average Score: 0.91
Episode 113	Average Score: 0.94
Episode 114	Average Score: 0.96
Episode 115	Average Score: 1.00
Episode 116	Average Score: 1.05
Episode 117	Average Score: 1.06
Episode 118	Average Score: 1.10
Episode 119	Average Score: 1.16
Episode 120	Average Score: 1.18
Episode 121	Average Score: 1.22
Episode 122	Average Score: 1.23
Episode 123	Average Score: 1.26
Episode 124	Average Score: 1.32
Episode 125	Average Score: 1.35
Episode 126	Average Score: 1.36
Episode 127	Average Score: 1.38
Episode 128	Average Score: 1.42
Episode 129	Average Score: 1.51
Episode 130	Average Score: 1.55
Episode 131	Average Score: 1.56
Episode 132	Average Score: 1.57
Episode 133	Average Score: 1.57
Episode 134	Average Score: 1.63
Episode 135	Average Score: 1.71
Episode 136	Average Score: 1.73
